Index,Make,Model,Car,Variant,Final Configuration,Body Type,Fuel Type,Fuel System,Type,Drivetrain,Displacement,Cylinders,Mileage,Power,Torque,Fuel Tank,Height,Length,Width,Doors,Seats,Wheelbase,Airbags,Price
0,Tata,Nano Genx,Tata Nano Genx,Xt,Tata Nano GenxXt,Hatchback,Petrol,Injection,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24,1652,3164,1750,5,4,2230,0,292667
1,Tata,Nano Genx,Tata Nano Genx,Xe,Tata Nano GenxXe,Hatchback,Petrol,Injection,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24,1652,3164,1750,5,4,2230,0,236447
2,Tata,Nano Genx,Tata Nano Genx,Xta,Tata Nano GenxXta,Hatchback,Petrol,Injection,Automatic,RWD (Rear Wheel Drive),624,2,21.9,37.48,51,24,1652,3164,1750,5,4,2230,0,334768
3,Tata,Nano Genx,Tata Nano Genx,Xm,Tata Nano GenxXm,Hatchback,Petrol,Injection,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24,1652,3164,1750,5,4,2230,0,272223
4,Tata,Nano Genx,Tata Nano Genx,Xma,Tata Nano GenxXma,Hatchback,Petrol,Injection,Automatic,RWD (Rear Wheel Drive),624,2,21.9,37.48,51,24,1652,3164,1750,5,4,2230,0,314815
5,Datsun,Redi-Go,Datsun Redi-Go,D,Datsun Redi-GoD,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1541,3429,1560,5,5,2348,0,279650
6,Datsun,Redi-Go,Datsun Redi-Go,T,Datsun Redi-GoT,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1541,3429,1560,5,5,2348,0,351832
7,Datsun,Redi-Go,Datsun Redi-Go,A,Datsun Redi-GoA,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1541,3429,1560,5,5,2348,0,333419
8,Datsun,Redi-Go,Datsun Redi-Go,S,Datsun Redi-GoS,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1541,3429,1560,5,5,2348,0,362000
9,Datsun,Redi-Go,Datsun Redi-Go,1.0 S,Datsun Redi-Go1.0 S,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,22.5,67.07,91,28,1541,3429,1560,5,5,2348,0,390000
10,Datsun,Redi-Go,Datsun Redi-Go,1.0 S Amt,Datsun Redi-Go1.0 S Amt,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,23,67.07,91,28,1541,3429,1560,5,5,2348,0,437065
11,Renault,Kwid,Renault Kwid,Rxe 0.8,Renault KwidRxe 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1490,3731,1579,5,5,2422,1,353290
12,Renault,Kwid,Renault Kwid,Std 0.8,Renault KwidStd 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1490,3731,1579,5,5,2442,1,283290
13,Renault,Kwid,Renault Kwid,Rxl 0.8,Renault KwidRxl 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1490,3731,1579,5,5,2422,1,383290
14,Renault,Kwid,Renault Kwid,Rxt 0.8,Renault KwidRxt 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1490,3731,1580,5,5,2422,1,413290
15,Renault,Kwid,Renault Kwid,Rxt 1.0,Renault KwidRxt 1.0,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28,1490,3731,1579,5,5,2422,1,433290
16,Renault,Kwid,Renault Kwid,Climber 1.0 Mt,Renault KwidClimber 1.0 Mt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28,1490,3731,1579,5,5,2422,1,454490
17,Renault,Kwid,Renault Kwid,Rxt Amt 1.0,Renault KwidRxt Amt 1.0,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,24.04,67.07,91,28,1490,3731,1579,5,5,2422,1,463290
18,Renault,Kwid,Renault Kwid,Climber Amt 1.0,Renault KwidClimber Amt 1.0,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,24.04,67.07,91,28,1490,3731,1579,5,5,2422,1,484490
19,Renault,Kwid,Renault Kwid,Rxt (O) 1.0,Renault KwidRxt (O) 1.0,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28,1490,3731,1579,5,5,2422,2,440990
20,Renault,Kwid,Renault Kwid,Rxt (O) Amt 1.0,Renault KwidRxt (O) Amt 1.0,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28,1490,3731,1579,5,5,2422,2,470990
21,Renault,Kwid,Renault Kwid,Climber (O) Mt 1.0,Renault KwidClimber (O) Mt 1.0,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,23.01,67.07,91,28,1490,3731,1579,5,5,2422,2,462190
22,Renault,Kwid,Renault Kwid,Climber (O) Amt 1.0,Renault KwidClimber (O) Amt 1.0,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,24.04,67.07,91,28,1490,3731,1579,5,5,2422,2,492190
23,Maruti Suzuki,Eeco,Maruti Suzuki Eeco,5 Str,Maruti Suzuki Eeco5 Str,MPV,Petrol,Injection,Manual,RWD (Rear Wheel Drive),1196,4,15,72,101,40,1800,3675,1475,5,5,2350,1,352136
24,Maruti Suzuki,Eeco,Maruti Suzuki Eeco,7 Str,Maruti Suzuki Eeco7 Str,MPV,Petrol,Injection,Manual,FWD (Front Wheel Drive),1196,4,15,72.99,101,40,1800,3675,1475,5,7,2350,1,380573
25,Maruti Suzuki,Eeco,Maruti Suzuki Eeco,5 Str With Ac+Htr,Maruti Suzuki Eeco5 Str With Ac+Htr,MPV,Petrol,Injection,Manual,RWD (Rear Wheel Drive),1196,4,15,72,101,40,1800,3675,1475,5,5,2350,0,392967
26,Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Lxi,Maruti Suzuki Alto K10Lxi,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35,1475,3545,1490,5,5,2360,1,377588
27,Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Vxi,Maruti Suzuki Alto K10Vxi,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35,1475,3545,1490,5,5,2360,1,394036
28,Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Lx,Maruti Suzuki Alto K10Lx,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35,1475,3545,1490,5,5,2360,1,360843
29,Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Vxi (O),Maruti Suzuki Alto K10Vxi (O),Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35,1460,3620,1475,5,5,2360,1,407238
30,Maruti Suzuki,Alto K10,Maruti Suzuki Alto K10,Vxi Amt (O),Maruti Suzuki Alto K10Vxi Amt (O),Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),998,3,24.07,67.07,90,35,1475,3545,1490,5,5,2360,1,438559
31,Datsun,Go,Datsun Go,D,Datsun GoD,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35,1507,3788,1636,5,5,2450,2,374990
32,Datsun,Go,Datsun Go,T,Datsun GoT,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35,1507,3788,1636,5,5,2450,2,468229
33,Datsun,Go,Datsun Go,T (O),Datsun GoT (O),Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35,1507,3788,1636,5,5,2450,2,502492
34,Datsun,Go,Datsun Go,A (O),Datsun GoA (O),Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35,1507,3788,1636,5,5,2450,2,499990
35,Datsun,Go,Datsun Go,A,Datsun GoA,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35,1507,3788,1636,5,5,2450,2,469990
36,Datsun,Go,Datsun Go,T Vdc,Datsun GoT Vdc,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35,1507,3788,1636,5,5,2450,2,528464
37,Datsun,Go,Datsun Go,T (O) Vdc,Datsun GoT (O) Vdc,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1198,3,20.1,67.07,104,35,1507,3788,1636,5,5,2450,2,553015
38,Datsun,Go,Datsun Go,T Cvt,Datsun GoT Cvt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1198,3,20.1,76.93,104,35,1507,3788,1636,5,5,2450,2,594464
39,Datsun,Go,Datsun Go,T (O) Cvt,Datsun GoT (O) Cvt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1198,3,20.1,76.93,104,35,1507,3788,1636,5,5,2450,2,618015
40,Maruti Suzuki,Celerio Tour,Maruti Suzuki Celerio Tour,H2,Maruti Suzuki Celerio TourH2,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),998,3,23.1,67.07,90,35,1560,3600,1600,5,5,2425,2,422444
41,Hyundai,Santro,Hyundai Santro,Era Mt,Hyundai SantroEra Mt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1086,4,20.3,68.06,99,35,1560,3610,1645,4,5,2400,1,429990
42,Hyundai,Santro,Hyundai Santro,Magna Mt,Hyundai SantroMagna Mt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1086,4,20.3,68.06,99,35,1560,3610,1645,4,5,2400,1,503990
43,Hyundai,Santro,Hyundai Santro,Magna Amt,Hyundai SantroMagna Amt,Hatchback,Petrol,Injection,AMT,FWD (Front Wheel Drive),1086,4,20.3,68.06,10,35,1560,3610,1645,4,5,2400,1,530990
44,Hyundai,Santro,Hyundai Santro,Sportz Mt,Hyundai SantroSportz Mt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1086,4,20.3,68.06,10,35,1560,3610,1645,4,5,2400,1,512990
45,Hyundai,Santro,Hyundai Santro,Sportz Amt,Hyundai SantroSportz Amt,Hatchback,Petrol,Injection,AMT,FWD (Front Wheel Drive),1086,4,20.3,68.06,10,35,1560,3610,1645,4,5,2400,1,570990
46,Hyundai,Santro,Hyundai Santro,Asta Mt,Hyundai SantroAsta Mt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1086,4,20.3,68.06,99,35,1560,3610,1645,4,5,2400,2,556490
47,Tata,Tiago,Tata Tiago,Revotron Xe,Tata TiagoRevotron Xe,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1199,3,23,84.82,114,35,1535,3765,1677,5,5,2400,2,460000
48,Tata,Tiago,Tata Tiago,Revotron Xt,Tata TiagoRevotron Xt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1199,3,23,84.82,114,35,1535,3746,1647,5,5,2400,2,520000
49,Tata,Tiago,Tata Tiago,Revotron Xz,Tata TiagoRevotron Xz,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1199,3,23,84.82,114,35,1535,3746,1647,5,5,2400,2,570000
50,Tata,Tiago,Tata Tiago,Revotron Xz Plus,Tata TiagoRevotron Xz Plus,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1199,3,23,84.82,114,35,1535,3746,1647,5,5,2400,2,599000
51,Tata,Tiago,Tata Tiago,Revotron Xz Plus Dual Tone,Tata TiagoRevotron Xz Plus Dual Tone,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1199,3,23,84.82,114,35,1535,3746,1647,5,5,2400,2,610000
52,Tata,Tiago,Tata Tiago,Revotron Xza,Tata TiagoRevotron Xza,Hatchback,Petrol,Injection,AMT,FWD (Front Wheel Drive),1199,3,24,84.82,114,35,1535,3746,1647,5,5,2400,2,620000
53,Tata,Tiago,Tata Tiago,Revotron Xza Plus,Tata TiagoRevotron Xza Plus,Hatchback,Petrol,Injection,AMT,FWD (Front Wheel Drive),1199,3,24,84.82,114,35,1535,3746,1647,5,5,2400,2,649000
54,Tata,Tiago,Tata Tiago,Revotron Xza Plus Dual Tone,Tata TiagoRevotron Xza Plus Dual Tone,Hatchback,Petrol,Injection,AMT,FWD (Front Wheel Drive),1199,3,24,84.82,114,35,1535,3746,1647,5,5,2400,2,660000
55,Maruti Suzuki,Celerio X,Maruti Suzuki Celerio X,Vxi (O),Maruti Suzuki Celerio XVxi (O),Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),998,3,23.1,67.07,90,35,1560,3600,1600,5,5,2425,2,481074
56,Maruti Suzuki,Celerio X,Maruti Suzuki Celerio X,Vxi,Maruti Suzuki Celerio XVxi,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),998,3,23.1,67.07,90,35,1560,3600,1600,5,5,2425,1,475198
57,Maruti Suzuki,Celerio X,Maruti Suzuki Celerio X,Vxi Amt,Maruti Suzuki Celerio XVxi Amt,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),998,3,23.1,67.07,90,35,1560,3600,1600,5,5,2425,1,518198
58,Maruti Suzuki,Celerio X,Maruti Suzuki Celerio X,Vxi Amt (O),Maruti Suzuki Celerio XVxi Amt (O),Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),998,3,23.1,67.07,90,35,1560,3600,1600,5,5,2425,2,524074
59,Maruti Suzuki,Celerio X,Maruti Suzuki Celerio X,Zxi,Maruti Suzuki Celerio XZxi,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),998,3,23.1,67.07,90,35,1560,3600,1600,5,5,2425,1,499734
60,Maruti Suzuki,Celerio X,Maruti Suzuki Celerio X,Zxi (O),Maruti Suzuki Celerio XZxi (O),Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),998,3,23.1,67.07,90,35,1560,3600,1600,5,5,2425,2,540350
61,Maruti Suzuki,Celerio X,Maruti Suzuki Celerio X,Zxi Amt,Maruti Suzuki Celerio XZxi Amt,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),998,3,23.1,67.07,90,35,1560,3600,1600,5,5,2425,1,542735
62,Maruti Suzuki,Celerio X,Maruti Suzuki Celerio X,Zxi Amt (O),Maruti Suzuki Celerio XZxi Amt (O),Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),998,3,23.1,67.07,90,35,1560,3600,1600,5,5,2425,2,552350
63,Maruti Suzuki,Ignis,Maruti Suzuki Ignis,Alpha 1.2 Amt,Maruti Suzuki IgnisAlpha 1.2 Amt,Hatchback,Petrol,Injection,AMT,FWD (Front Wheel Drive),1197,4,20.89,81.86,113,32,1595,3700,1690,5,5,2435,2,713898
64,Maruti Suzuki,Ignis,Maruti Suzuki Ignis,Alpha 1.2 Mt,Maruti Suzuki IgnisAlpha 1.2 Mt,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),1197,4,20.89,81.86,113,32,1595,3700,1690,5,5,2435,2,666898
